Timestamps are UTC timezone,https://www.CryptoDataDownload.com
date,symbol,open,high,low,close,volume_btc,volume
2019-10-09 07-AM,BTCUSD,8147.93,8190.83,8147.18,8173.42,102.93,841323.11
2019-10-09 06-AM,BTCUSD,8150.49,8162.95,8138.5,8147.93,179.96,1466856.42
2019-10-09 05-AM,BTCUSD,8134.39,8165,8125.45,8150.49,91.02,741460.43
2019-10-09 04-AM,BTCUSD,8127,8145,8121,8134.39,128.83,1047614.09
2019-10-09 03-AM,BTCUSD,8162.93,8170.63,8127,8127,170.52,1389015.63
2019-10-09 02-AM,BTCUSD,8173.31,8173.31,8126.07,8162.93,232.75,1897104.46
2019-10-09 01-AM,BTCUSD,8185.33,8193.23,8173.28,8173.31,105.49,863111.65
2019-10-09 12-AM,BTCUSD,8180,8210,8137.28,8185.33,403.07,3294507.95
2019-10-08 11-PM,BTCUSD,8197.87,8215.97,8172.54,8180,146.68,1201414.43
2019-10-08 10-PM,BTCUSD,8164.9,8220.64,8160.43,8197.87,317.96,2604228.93
2019-10-08 09-PM,BTCUSD,8131.01,8164.9,8119.32,8164.9,275.05,2240874.38
2019-10-08 08-PM,BTCUSD,8169,8193.66,8107.26,8131.01,386.61,3146048.72
2019-10-08 07-PM,BTCUSD,8194.68,8210,8166.41,8169,204.54,1674743.49
2019-10-08 06-PM,BTCUSD,8182.61,8200,8168,8194.68,187.7,1535762.21
2019-10-08 05-PM,BTCUSD,8173.51,8190.37,8162.07,8182.61,162.7,1330460.12
2019-10-08 04-PM,BTCUSD,8191.44,8211.12,8162.9,8173.51,250.72,2051765.32
2019-10-08 03-PM,BTCUSD,8201,8230,8185.65,8191.44,280.93,2305254.39
2019-10-08 02-PM,BTCUSD,8211.29,8215,8170,8201,301.7,2472026.83
2019-10-08 01-PM,BTCUSD,8233.34,8250,8210,8211.29,250.18,2058728.6
2019-10-08 12-PM,BTCUSD,8184.39,8233.89,8150,8233.34,341.98,2800188.8
2019-10-08 11-AM,BTCUSD,8172.28,8211.97,8170.47,8184.39,154.8,1266885.88
2019-10-08 10-AM,BTCUSD,8184.86,8219.16,8170,8172.28,165.21,1354497.49
2019-10-08 09-AM,BTCUSD,8172.71,8186.31,8151.84,8184.86,134.29,1096797.85
2019-10-08 08-AM,BTCUSD,8218.95,8218.95,8151.94,8172.71,560.26,4582942.89
2019-10-08 07-AM,BTCUSD,8245.17,8245.17,8210.98,8218.95,101.21,832894.13
2019-10-08 06-AM,BTCUSD,8258.19,8263.84,8238.52,8245.17,99.48,820497.47
2019-10-08 05-AM,BTCUSD,8236.76,8260,8222.59,8258.19,111.6,918906.07
2019-10-08 04-AM,BTCUSD,8280.92,8300,8233.97,8236.76,192.97,1594797.15
2019-10-08 03-AM,BTCUSD,8283.17,8290,8255.99,8280.92,231.47,1914882.77
2019-10-08 02-AM,BTCUSD,8296.61,8342.97,8276.19,8283.17,411.55,3419760.21
2019-10-08 01-AM,BTCUSD,8237.49,8298,8233.25,8296.61,348.24,2879017.91
2019-10-08 12-AM,BTCUSD,8209,8242.49,8208.99,8237.49,191.01,1571491.94
2019-10-07 11-PM,BTCUSD,8247.71,8270,8204.12,8209,411.99,3399234.67
2019-10-07 10-PM,BTCUSD,8209.39,8250,8206.98,8247.71,264.07,2172857.99
2019-10-07 09-PM,BTCUSD,8216.71,8229.42,8200,8209.39,215.12,1766316.22
2019-10-07 08-PM,BTCUSD,8227.22,8256.09,8196.57,8216.71,445.89,3669495.78
2019-10-07 07-PM,BTCUSD,8250,8260.38,8213.05,8227.22,435.81,3590776.01
2019-10-07 06-PM,BTCUSD,8279.14,8310.57,8223.42,8250,660.53,5463278.94
2019-10-07 05-PM,BTCUSD,8252,8288,8229.63,8279.14,604.6,4992428.06
2019-10-07 04-PM,BTCUSD,8195,8258,8160,8252,818.38,6717412.74
2019-10-07 03-PM,BTCUSD,8171.81,8246,8161,8195,654.26,5360445.93
2019-10-07 02-PM,BTCUSD,8160.81,8180,8132,8171.81,410.14,3345241.79
2019-10-07 01-PM,BTCUSD,8126,8217.5,8126,8160.81,766.09,6257162.17
2019-10-07 12-PM,BTCUSD,7991.77,8167.59,7991.12,8126,880.81,7148748.49
2019-10-07 11-AM,BTCUSD,8006.27,8039,7985.19,7991.77,223.89,1794443.72
2019-10-07 10-AM,BTCUSD,7933.38,8060.53,7932.85,8006.27,563.5,4511378.47
2019-10-07 09-AM,BTCUSD,7893.87,7955,7885,7933.38,164.29,1300271.53
2019-10-07 08-AM,BTCUSD,7870.33,7950,7870.33,7893.87,199.59,1579742.14
2019-10-07 07-AM,BTCUSD,7830.39,7885.34,7828.99,7870.33,117.1,919940.48
2019-10-07 06-AM,BTCUSD,7842.71,7850,7804,7830.39,142.35,1113491.57
2019-10-07 05-AM,BTCUSD,7844.85,7849.81,7812.5,7842.71,111.7,874633.46
2019-10-07 04-AM,BTCUSD,7873.54,7891.38,7839.01,7844.85,150.14,1181589.38
